Headlines,Time,Description
Cramer: Never buy a stock all at once  Eyou'll almost definitely get burned,2017-12-22,Jim Cramer doubled down on his key investing rule of never buying a desired stock all in one go.
Cramer: I helped investors through the 2010 flash crash by following one key rule,2017-12-22,"Jim Cramer built on his ""nobody ever made a dime panicking"" mantra by explaining how investors can apply it to their portfolios."
Cramer says owning too many stocks and too little cash can set you up for failure,2017-12-22,"Jim Cramer broke down why owning fewer stocks can help make you more money, and why investors shouldn't be ashamed of having cash on hand."
Markets lack Christmas cheer,2017-12-26,"According to Kensho, here's how markets have fared during the week of Christmas over the past five years."
S&P tends to start new year bullish after this happens,2017-12-27,"The S&P is on track to end the year up 20 percent. After previous double-digit gains of 10 percent or more, the bullish trend tends to carry through to the following quarter.  "
Cramer Remix: Apple's stock won't slow down in 2018,2018-01-02,Jim Cramer dished out his take on whether Apple can continue to stay juicy this year after it had a big run last year.
Cramer shares his top energy stock picks as oil prices rise,2018-01-02,Jim Cramer revisited the oil sector and hand-picked the best investment guidelines for the energy stock comeback.
Cramer's lightning round: Buy Becton Dickinson's stock hand over fist,2018-01-02,"Jim Cramer rattled off his take on callers' favorite stocks, including one of his favorite biotechnology plays."
Cramer Remix: My prediction for Apple in 2018,2018-01-02,Jim Cramer dished out his take on whether Apple can continue to stay juicy this year after it had a big run last year.
Cramer reflects on how Trump's actions are fueling the 'beast' market rally,2018-01-02,"Jim Cramer examined the notion that investors are ""bored"" with the market rally and explained how the president is driving stocks higher."
The major indexes trade lower in January,2018-01-02,"Our data partners at Kensho say beware of January. Since 2012 on average the Nasdaq, S&P 500, Dow and Russell all trade lower in the first month of the year. "
Cramer's S&P 500 and Dow charts indicate a strong start to 2018,2018-01-02,Jim Cramer warned investors about getting too cynical after a robust year for the averages and healthy momentum ahead.
Markets after S&P gains 15% in a year,2018-01-03,"According to our data partners at Kensho, after the S&P finished 15% up or more in a year the index is positive 77% of the time the following year, returning an average of 8.8% since 1980. The Nasdaq and Dow also have good track records after a big year. "
Cramer: Analyst recommendations are already boosting stocks in 2018—and they won't stop,2018-01-03,"Jim Cramer highlighted the flurry of bullish, stock-moving analyst notes issued after the Republican tax bill became law."
Cramer reviews the Dow's biggest winners and losers for 2017,2018-01-03,Jim Cramer reviewed the Dow Jones industrial average's best and worst performers for the 2017 calendar year.
Cramer dubs Children's Place a 'fabulous' buy on weakness,2018-01-03,"Jim Cramer tracked Children's Place's positive drivers and anointed it one of his few ""buys"" in brick-and-mortar retail."
Cramer's lightning round: Don't sell the stock of Ametek. It's a winner,2018-01-03,"Jim Cramer flew through his take on callers' favorite stocks, including an under-the-radar industrial play."
"Cramer Remix: I've issued more mea culpas on GE than any other stock, but I'm not giving up just yet",2018-01-03,Jim Cramer revealed why he hasn’t given up on GE yet.
Cramer: The US-China 'trade war' could explode in 2018,2018-01-04,Jim Cramer made the case for President Donald Trump and the U.S. Department of Commerce to prohibit Chinese steel dumping.
"Cramer Remix: Even at Dow 25K, this market is a beast, and it's a beauty",2018-01-04,Jim Cramer dished on what’s behind the strength of this market.
"Cramer's lightning round: Stop talking, start buying Raytheon",2018-01-04,"Jim Cramer zoomed through his take on callers' favorite stocks, including a defense play fresh off some momentary weakness."
"Cramer Remix: Even at Dow 25K, this market is a beast, and it's a beauty",2018-01-04,Jim Cramer dished on what’s behind the strength of this market.
Cramer pinpoints stocks that are feeding the market in 'beast mode',2018-01-04,"Jim Cramer zoomed in on the stocks that drove the ""beast"" market to new highs on Thursday, including Dow 25,000."
"Tax cuts may be good for short-term profit pop, but long term outlook not so rosy",2018-01-04,Concern that tax reform offers only a one-time lift to stocks and it may all be discounted before this month is over.
Dominion CEO bullish on latest deal: 'We're investing for the long term in South Carolina',2018-01-04,Jim Cramer spoke to Dominion Energy CEO Tom Farrell about his company's acquisition of struggling South Carolinian utility Scana.
Last year's S&P 500 winners could still have room to run,2018-01-05,Jim Cramer ran through the S&P 500's worst performers for 2017 and found some redeemable players in the house of pain.
Last year's S&P 500 losers could be prime for speculation,2018-01-05,Jim Cramer ran through the S&P 500's worst performers for 2017 and found some redeemable players in the house of pain.
Cramer Remix: Common sense can make you money in this market,2018-01-05,"Jim Cramer explained how observations, and not just knowledge of stocks, could help you find your next play."
Cramer says the S&P 500's biggest 2017 losers could be prime for speculation,2018-01-05,Jim Cramer ran through the S&P 500's worst performers for 2017 and found some redeemable players in the house of pain.
Cramer's lightning round: Buy B&G Foods on its millennial advantage,2018-01-05,"Jim Cramer zipped through his take on callers' favorite stocks, including a food product play."
Cramer Remix: Common sense can make you money in this market,2018-01-05,"Jim Cramer explained how observations, and not just knowledge of stocks, could help you find your next play."
Cramer: The S&P 500's winners for 2017 could still have room to run this year,2018-01-05,Jim Cramer reviewed the S&P 500's best performers for 2017 and noted the names that have more room to run.
Cramer's game plan: Feeding the beast with a bank earnings kicker,2018-01-05,"Jim Cramer looked ahead to the stocks and events he'll watch next week, including two major conferences and earnings from the banks."
Cramer: The S&P 500's winners for 2017 could still have room to run this year,2018-01-05,Jim Cramer reviewed the S&P 500's best performers for 2017 and noted the names that have more room to run.
Under Armour cools off after gains,2018-01-05,"Our data partners at Kensho, show after a move of 10% or more in a week Under Armour cools off. Down three percent on average a week later."
Stocks tend to be cold in January,2018-01-05,"January tends to be a tough month for stocks  with the Dow, S&P, Dow and Russel 2K all averaging losses of more than one percent. "
Cramer says the S&P 500's biggest 2017 losers could be prime for speculation,2018-01-05,Jim Cramer ran through the S&P 500's worst performers for 2017 and found some redeemable players in the house of pain.
Markets after Q1 first-week streak,2018-01-08,"Our data partners at Kensho say the rally is due to roll at least until the end of the quarter. Since 1980 when up the first week of the year, the run continues. The Nasdaq up an average of 6.96% in Q1. Almost 4% for the S&P and Dow after a good first week. "
Cramer says 4 things—including the tax overhaul—will continue to push stocks higher,2018-01-08,"Jim Cramer explained how index funds, stock shortages, tax cuts and low valuations all coalesce to drive stocks higher."
"Cramer: Marijuana, bitcoin and Micron are all speculative investments",2018-01-08,"Jim Cramer gauged the speculative potential of the cannabis, cryptocurrency and chipmaking markets for individual investors."
"'Best days are still ahead' for top opioid addiction treatment Vivitrol, CEO says",2018-01-08,"Jim Cramer spoke to Alkermes CEO Richard Pops, who said 2018 will be a year of milestones for his company's drugs."
Cramer's lightning round: Mercadolibre is even better than eBay was,2018-01-08,"Jim Cramer rattled off his take on callers' favorite stocks, including a Latin American e-commerce play."
Cramer Remix: Tesla’s stock is up for one simple reason,2018-01-08,Jim Cramer lifted the hood on Tesla’s move higher and why he thinks the stock rose despite fewer-than-expected Model 3 deliveries in Q4.
Cramer Remix: My warning to the market cynics,2018-01-09,Jim Cramer broke down the action in the market and explained why he thinks investors can’t afford to be too cynical.
"Three rate hikes by the Fed in 2018 would be problematic for markets, expert says",2018-01-09,"The latest FOMC projections indicate three rate hikes for 2018, but markets have only priced in two increases."
Cramer's lightning round: The analysts downgrading Edwards Lifesciences are 'knuckleheads',2018-01-09,"Jim Cramer flew through his take on callers' favorite stocks, including a biotechnology stock being targeted by Wall Street."
Children's Place CEO: We have the 'dream customer'—millennial moms,2018-01-09,"Jim Cramer sat down with Children's Place President and CEO Jane Elfers, who broke down the company's turnaround strategy."
Cramer lists 6 tailwinds for consumer-related stocks,2018-01-09,Jim Cramer made the bull case for consumer stocks in a defining era for traditional retailers.
"Physical stores are 'critical' no matter where consumers choose to shop, Kohl's CEO says",2018-01-10,"Jim Cramer sat down with Kohl’s CEO Kevin Mansell, who discussed his company's partnership with Amazon and his outlook on retail."
Cramer makes the bull case for China's move to cut US debt purchases,2018-01-10,Jim Cramer laid out the benefits of China potentially halting its purchases of U.S. sovereign debt.
'There's a rhythm to these things:' Domino's Pizza CEO discusses impending departure,2018-01-10,Jim Cramer spoke with Domino's Pizza CEO Patrick Doyle to discuss his recently announced departure from the company.
Cramer's charts show video game stocks like Take-Two have more room to run,2018-01-10,Jim Cramer took to the charts of video game stocks with technician Rob Moreno to see if the red-hot sector still has gains left.
Cramer's lightning round: Wait for General Dynamics—it's about to move higher,2018-01-10,"Jim Cramer shared his take on callers' favorite stocks, including a play on aerospace and defense."
Cramer Remix: Domino’s Pizza proves why stock-picking is still a winning strategy,2018-01-10,Jim Cramer dished on how Domino’s Pizza was able to outperform index funds despite the increasingly difficult environment.
