id,sentence,info_snippets,info_target,info_sentiment_score,info_aspects
1,Royal Mail chairman Donald Brydon set to step down,['set to step down'],Royal Mail,-0.374,['Corporate/Appointment']
2,Stakes High for AstraZeneca Heart Drug Facing Tough Competition,['Facing Tough Competition'],AstraZeneca,-0.24,['Corporate/Risks']
3,UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,['Crest loses a third of Morrisons milk contract'],Morrisons,-0.161,['Corporate/Sales/Failed Contract Discussion']
4,Insight hires Aviva's David Hillier for multi-asset team,['hires Aviva's David Hillier for multi-asset team'],Insight,0.137,['Corporate/Appointment/Executive Appointment']
5,Primark racks up a happy Christmas after strong sales,['after strong sales'],Primark,0.704,['Corporate/Sales']
6,UPDATE 1-Pearson expects to grow this year after solid end to 2014,['to grow this year after solid end to 2014'],Pearson,0.446,['Stock/Fundamentals']
7,Tesco sells Blinkbox and broadband service to TalkTalk,['sells Blinkbox and broadband service to'],TalkTalk,0.136,['Corporate/Sales/Deal']
8,Tesco sells Blinkbox and broadband service to TalkTalk,['sells Blinkbox and broadband service to'],Tesco,0.192,['Corporate/Sales/Deal']
9,Unilever profit rises despite sales slump in China,['despite sales slump'],Unilever,0.213,['Corporate/Sales']
10,Tesco leads leap in FTSE 100; Marks & Spencer drops,['Tesco leads leap in FTSE 100; '],Tesco,0.389,['Stock/Technical Analysis/Trend/Trending up']
11,Royal Dutch Shell profit rises; dividend up 4%,['dividend up 4%'],Royal Dutch Shell,0.65,['Corporate/Dividend Policy']
12,Morning Agenda: Shire's Deal for NPS,['Shire's Deal for NPS'],Shire,0.195,['Corporate/Sales/Deal']
13,Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,['Group Sign Memo of Understanding ..'],China Merchants Group,0.119,['Corporate/Strategy/Company Agreement']
14,Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,['FDA Approves'],AstraZeneca,0.242,['Corporate/Regulatory']
15,Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,['FDA Approves Generic Versio'],Teva,0.476,['Corporate/Regulatory']
16,Passengers rise at EasyJet and Aer Lingus,['rise at EasyJet and Aer Lingus'],EasyJet,0.329,['Corporate/Sales/Sales']
17,Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,['Video-Streaming Ambitions'],Blinkbox,-0.195,['Corporate/Strategy']
18,Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,['Tesco Abandons Video-Streaming Ambitions '],Tesco,-0.335,['Corporate/Strategy']
19,"FDA approves NPS drug, in move validating Shire takeover deal",['validating Shire takeover deal'],Shire,0.332,['Corporate/M&A/Proposed Merger']
20,Ocwen Reaches Settlement With California Regulator,['Settlement With California Regulator'],Ocwen,0.171,['Corporate/Legal/Settlement']
21,Morrisons faces festive sales test,['festive sales test'],Morrisons,-0.113,['Corporate/Sales']
22,Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,['share price dips'],Blinkbox,-0.357,['Stock/Price Action']
23,Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,['Tesco share price dips'],Tesco,-0.389,['Stock/Price Action/Volatility']
24,Shire to buy NPS for $5.2 billion to boost rare disease drugs,['Shire to buy NPS for $5.2 billion to boost rare disease drugs'],Shire,0.235,['Corporate/M&A/M&A']
25,AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,['Licensing Deal With Omnis Pharmaceuticals'],Omnis Pharmaceuticals,0.295,['Corporate/Sales/Deal']
